Unnamed: 0,stop_id,direction_id,branch_route_id,headway_trunk_seconds,headway_branch_seconds,stop_name
54,70091,0,Red-B,4693.0,,Shawmut
55,70092,1,Red-A,1088.9934773746434,1088.9934773746434,Shawmut
56,70095,0,Red-B,576.5867098865479,1069.5392197125257,JFK/UMass
57,70096,1,Red-B,565.3577405857741,1093.154761904762,JFK/UMass
58,70097,0,Red-B,1102.201868399675,1102.201868399675,North Quincy
59,70098,1,Red-B,1092.347625052543,1092.347625052543,North Quincy
60,70099,0,Red-B,1092.2624754420433,1092.2624754420433,Wollaston
61,70100,1,Red-B,1088.860620337652,1088.860620337652,Wollaston
62,70101,0,Red-B,1091.503937007874,1091.503937007874,Quincy Center
63,70102,1,Red-B,1089.8255402750492,1089.8255402750492,Quincy Center
64,70103,0,Red-B,1094.0051261829651,1094.0051261829651,Quincy Adams
65,70104,1,Red-B,1094.6380126182964,1094.6380126182964,Quincy Adams
66,70107,0,Green-D,,,Boston College
67,70110,1,Green-B,589.7203565505804,589.699481865285,South Street
68,70111,0,Green-B,600.1662220398113,600.2672413793103,South Street
69,70112,1,Green-B,592.7816091954023,592.7816091954023,Chestnut Hill Avenue
70,70113,0,Green-B,599.3945336949719,599.3945336949719,Chestnut Hill Avenue
71,70114,1,Green-B,593.5376726663876,593.5376726663876,Chiswick Road
72,70115,0,Green-B,600.6881002087682,600.5903111296722,Chiswick Road
73,70116,1,Green-B,594.0849379546427,594.0849379546427,Sutherland Road
74,70117,0,Green-B,603.6774193548387,603.6774193548387,Sutherland Road
75,70120,1,Green-B,594.5058264997842,594.5058264997842,Washington Street
76,70121,0,Green-B,606.2898936170212,606.2898936170212,Washington Street
77,70124,1,Green-B,595.4346961325967,595.4346961325967,Warren Street
78,70125,0,Green-B,605.8581245843494,605.8581245843494,Warren Street
79,70126,1,Green-B,594.9653191959355,594.9653191959355,Allston Street
80,70127,0,Green-B,606.3856730982479,606.3856730982479,Allston Street
81,70128,1,Green-B,594.1306266548985,594.1306266548985,Griggs Street
82,70129,0,Green-B,606.7239210583388,606.7239210583388,Griggs Street
83,70130,1,Green-B,594.2656048213516,594.2656048213516,Harvard Avenue
84,70131,0,Green-B,606.6771125999568,606.6771125999568,Harvard Avenue
85,70134,1,Green-B,591.7754446110993,591.7754446110993,Packard's Corner
86,70135,0,Green-B,607.367726584469,607.367726584469,Packard's Corner
87,70144,1,Green-B,590.6713269560952,590.6713269560952,Boston University Central
88,70145,0,Green-B,613.1255650426921,613.1255650426921,Boston University Central
89,70146,1,Green-B,591.3239194499017,591.3239194499017,Boston University East
90,70147,0,Green-B,618.1224386541867,618.1224386541867,Boston University East
91,70148,1,Green-B,602.3738434608653,602.3738434608653,Blandford Street
92,70149,0,Green-B,613.1454363089268,613.1454363089268,Blandford Street
93,70150,1,Green-C,214.19351693882524,593.6670743639921,Kenmore
94,70150,1,Green-D,201.7120365667852,619.5266242038217,Kenmore
95,70151,0,Green-B,101.5,472.0,Kenmore
96,70151,0,Green-C,211.60681049069373,602.4499787143466,Kenmore
97,70151,0,Green-D,229.64471403812823,614.0358228397743,Kenmore
98,70152,1,Green-B,205.207896051974,603.3496855345912,Hynes Convention Center
99,70152,1,Green-C,209.16072763518565,603.6395989974937,Hynes Convention Center
100,70152,1,Green-D,200.5302564102564,624.0925257731959,Hynes Convention Center
101,70153,0,Green-B,199.6647148676171,609.9330597589126,Hynes Convention Center
