stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line,year
70127,0,Boston College,531.2511413481336,Allston Street,Allston Street - Green Line - (B) Boston College,green,2018
70128,1,Government Center,443.0,Griggs Street,Griggs Street - Green Line - Park Street & North,green,2018
70128,1,Lechmere,371.0,Griggs Street,Griggs Street - Green Line - Park Street & North,green,2018
70128,1,North Station,187.5,Griggs Street,Griggs Street - Green Line - Park Street & North,green,2018
70128,1,Park St,532.2980522027103,Griggs Street,Griggs Street - Green Line - Park Street & North,green,2018
70129,0,Boston College,535.8862793851717,Griggs Street,Griggs Street - Green Line - (B) Boston College,green,2018
70130,1,Government Center,384.0,Harvard Avenue,Harvard Avenue - Green Line - Park Street & North,green,2018
70130,1,North Station,745.0,Harvard Avenue,Harvard Avenue - Green Line - Park Street & North,green,2018
70130,1,Park St,525.101261199321,Harvard Avenue,Harvard Avenue - Green Line - Park Street & North,green,2018
70131,0,Boston College,528.6629959370351,Harvard Avenue,Harvard Avenue - Green Line - (B) Boston College,green,2018
70134,1,Government Center,124.5,Packard's Corner,Packard's Corner - Green Line - Park Street & North,green,2018
70134,1,Park St,525.9830106506835,Packard's Corner,Packard's Corner - Green Line - Park Street & North,green,2018
70135,0,Boston College,536.7995821758993,Packard's Corner,Packard's Corner - Green Line - (B) Boston College,green,2018
70136,1,Government Center,66.5,,,green,2018
70136,1,North Station,322.0,,,green,2018
70136,1,Park St,527.3567744115328,,,unknown,2018
70137,0,Boston College,541.8874316156621,,,green,2018
70138,1,Government Center,124.5,,,green,2018
70138,1,North Station,1.0,,,green,2018
70138,1,Park St,528.7542216418246,,,unknown,2018
70139,0,Boston College,543.6232065780907,,,green,2018
70140,1,Government Center,575.6666666666666,,,green,2018
70140,1,North Station,279.0,,,green,2018
70140,1,Park St,535.4152196235026,,,unknown,2018
70141,0,Boston College,549.5205616361553,,,green,2018
70142,1,Government Center,583.5,,,green,2018
70142,1,North Station,0.0,,,green,2018
70142,1,Park St,540.4341992046697,,,unknown,2018
70143,0,Boston College,544.4051404922675,,,green,2018
70144,1,Government Center,326.0,Boston University Central,Boston University Central - Green Line - Park Street & North,green,2018
70144,1,North Station,231.5,Boston University Central,Boston University Central - Green Line - Park Street & North,green,2018
70144,1,Park St,526.1109264739358,Boston University Central,Boston University Central - Green Line - Park Street & North,green,2018
70145,0,Boston College,530.8759880963452,Boston University Central,Boston University Central - Green Line - (B) Boston College,green,2018
70146,1,Government Center,473.5,Boston University East,Boston University East - Green Line - Park Street & North,green,2018
70146,1,North Station,83.0,Boston University East,Boston University East - Green Line - Park Street & North,green,2018
70146,1,Park St,528.3497437981084,Boston University East,Boston University East - Green Line - Park Street & North,green,2018
70147,0,Boston College,532.1076484626614,Boston University East,Boston University East - Green Line - (B) Boston College,green,2018
70148,1,Government Center,550.3636363636364,Blandford Street,Blandford Street - Green Line - Park Street & North,green,2018
70148,1,Lechmere,245.5,Blandford Street,Blandford Street - Green Line - Park Street & North,green,2018
70148,1,North Station,517.125,Blandford Street,Blandford Street - Green Line - Park Street & North,green,2018
70148,1,Park St,522.9587439784328,Blandford Street,Blandford Street - Green Line - Park Street & North,green,2018
70149,0,Boston College,528.2187344182041,Blandford Street,Blandford Street - Green Line - (B) Boston College,green,2018
70150,1,Government Center,173.74153972828324,Kenmore,Kenmore - Green Line - Park Street & North,green,2018
70150,1,Lechmere,187.0,Kenmore,Kenmore - Green Line - Park Street & North,green,2018
70150,1,North Station,178.16171653439443,Kenmore,Kenmore - Green Line - Park Street & North,green,2018
70150,1,Park St,170.58858576996062,Kenmore,Kenmore - Green Line - Park Street & North,green,2018
70151,0,Boston College,501.6165167620605,Kenmore,"Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",green,2018
